PSI CAP  OME CAP
ZET CAP  OME CAP
ZET CAP  DEL CAP

OME2AQR  PHI AQR
GAM AQR  PHI AQR
GAM AQR  PI  AQR
ETA AQR  PI  AQR
ETA AQR  GAM AQR
ALP AQR  GAM AQR
ALP AQR  BET AQR
MU  AQR  BET AQR
MU  AQR  EPS AQR
ALP AQR  THE AQR
IOT AQR  THE AQR
IOT AQR  DEL AQR

ZET CET  THE CET
ETA CET  THE CET
ETA CET  IOT CET
BET CET  IOT CET
BET CET  TAU CET
ZET CET  TAU CET
ZET CET  OMI CET
DEL CET  OMI CET
DEL CET  GAM CET
NU  CET  GAM CET
NU  CET  XI2 CET
MU  CET  XI2 CET
MU  CET  LAM CET
ALP CET  LAM CET
ALP CET  GAM CET

ALP SEX  BET SEX
ALP SEX  GAM SEX

THE LUP  ETA LUP
GAM LUP  ETA LUP
GAM LUP  EPS LUP
MU  LUP  EPS LUP
MU  LUP  ZET LUP
ALP LUP  ZET LUP
ALP LUP  BET LUP
DEL LUP  BET LUP
DEL LUP  PHI1LUP
CHI LUP  PHI1LUP

BET CRU  DEL CRU
GAM CRU  ALP CRU

ALP PSA  DEL PSA
GAM PSA  DEL PSA
GAM PSA  BET PSA
MU  PSA  BET PSA
MU  PSA  IOT PSA
THE PSA  IOT PSA
THE PSA  ETA PSA
LAM PSA  ETA PSA
LAM PSA  EPS PSA
ALP PSA  EPS PSA

PI  SCL  ALP SCL
DEL SCL  ALP SCL
DEL SCL  ZET SCL
ETA SCL  ZET SCL
DEL SCL  GAM SCL
BET SCL  GAM SCL

ALP ARA  EPS1ARA
ZET ARA  EPS1ARA
ZET ARA  ETA ARA
ZET ARA  GAM ARA
DEL ARA  GAM ARA
BET ARA  GAM ARA
BET ARA  ALP ARA

